name,allegiances,death year,book of death,death chapter,book intro chapter,gender,nobility,got,cok,sos,ffc,dwd,S.No,actual,pred,alive,plod,title,male,culture,dateOfBirth,DateoFdeath,mother,father,heir,house,spouse,book1,book2,book3,book4,book5,isAliveMother,isAliveFather,isAliveHeir,isAliveSpouse,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,isPopular,popularity,isAlive
Addam Marbrand,Lannister,,,,56.0,1,1,1,1,1,1,0,1458,1,0,0.46,0.54,Ser,1,,,,,,,House Marbrand,,1,1,1,1,1,,,,,0,1,,0,0,0,0.130434783,1
Aemon Costayne,Lannister,,,,,1,1,0,0,1,0,0,289,1,1,0.62,0.38,,1,,,,,,,House Costayne,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
Aemon Estermont,Baratheon,,,,,1,1,0,1,1,0,0,877,1,1,0.7,0.3,Ser,1,Stormlands,,,,,,House Estermont,,0,1,1,1,1,,,,,0,1,,0,0,0,0.030100334,1
Aenys Frey,None,300.0,5.0,,59.0,0,1,1,1,1,0,1,1460,0,1,0.662,0.33799999999999997,Ser,1,,240.0,300.0,,,,House Frey,Tyana Wylde,1,1,1,1,1,,,,1.0,1,1,60.0,0,0,0,0.147157191,0
Aeron Greyjoy,House Greyjoy,,,,11.0,1,1,0,1,0,1,0,1623,1,0,0.313,0.687,Golden Storm,1,Ironmen,269.0,,,,,House Greyjoy,,1,1,1,1,1,,,,,0,1,36.0,4,1,1,0.45819398,1
Aethan,Night's Watch,,,,0.0,1,0,0,0,1,0,0,291,1,1,0.76,0.24,,0,,,,,,,Night's Watch,,0,0,1,0,0,,,,,0,0,,0,0,0,0.010033445,1
Aggar,House Greyjoy,299.0,2.0,56.0,50.0,1,0,0,1,0,0,0,293,0,0,0.051,0.9490000000000001,,1,,,299.0,,,,House Greyjoy,,0,1,0,0,1,,,,,0,0,,0,0,0,0.026755853,0
Aggo,House Targaryen,,,,54.0,1,0,1,1,1,0,1,1188,1,1,0.752,0.248,,0,Dothraki,,,,,,House Targaryen,,1,1,1,1,1,,,,,0,0,,0,0,0,0.133779264,1
Alayaya,None,,,,15.0,0,0,0,1,0,0,0,1626,1,1,0.9470000000000001,0.053,,0,,282.0,,,,,Chataya's brothel,,0,1,1,1,1,,,,,0,0,23.0,0,0,0,0.076923077,1
Albar Royce,Arryn,,,,38.0,1,1,1,0,0,1,0,882,1,1,0.826,0.174,Ser,1,,,,,,,House Royce of the Gates of the Moon,,1,1,1,1,1,,,,,0,1,,0,0,0,0.033444816,1
Albett,Night's Watch,,,,26.0,1,0,1,0,0,0,0,881,1,1,0.693,0.307,,1,,,,,,,Night's Watch,,1,1,1,1,1,,,,,0,0,,0,0,0,0.033444816,1
Alebelly,House Stark,299.0,2.0,46.0,4.0,1,0,0,1,0,0,0,298,0,0,0.282,0.718,,1,Northmen,,299.0,,,,House Stark,,0,1,0,0,0,,,,,0,0,,0,0,0,0.030100334,0
Alerie Hightower,House Tyrell,,,,6.0,0,1,0,0,1,1,0,1631,1,0,0.45299999999999996,0.547,Highgarden,0,,257.0,,,,,House Hightower,Mace Tyrell,1,1,1,1,1,,,,1.0,1,1,48.0,0,0,0,0.22742474899999998,1
Alesander Staedmon,Baratheon,,,,65.0,1,1,0,1,0,0,0,883,1,1,0.9790000000000001,0.021,Broad Arch,0,,,,,,,House Staedmon,,0,1,1,1,0,,,,,0,1,,0,0,0,0.013377926000000002,1
